id,user,tweets,date,location,favorites,retweets
1263161730915422208,bayaraa0410,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 17:36:39,,0,109
1263159465076908033,mungundalai1,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 17:27:39,,0,109
1263153919678484480,balgaa,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 17:05:37,"Ulaanbaatar, Mongolia",0,109
1263141657752375296,romka_right,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 16:16:53,Ulaanbaatar ,0,109
1263140278346661888,wsYangxiansen,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 16:11:25,,0,109
1263139735142305792,Ghanafreestyle1,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 16:09:15,,0,109
1263137980824182787,Natsagaa_D,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 16:02:17,Улаанбаатар,0,109
1263136920487354370,Odtengerod,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 15:58:04,,0,109
1263136590357917696,LkhagHaguwaa,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 15:56:45,,0,109
1263136482677493766,maazmaaraa,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 15:56:20,"Улаанбаатар,Монгол улс",0,109
1263135576061952000,Munkhbat_E68,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 15:52:43,Mongolia,0,109
