user,tweets,favorites
ariunq,"30,31 дэх Хүүк, Датаком Энхбат гуай хоёрын хооронд ширүүн тулаан болж бие бие рүүгээ ноцож бх зуур Эрдэнэ ван харин чимээгүйхэн гараад ирж мэдэхээр л бн шүү.
Нээх олон юм ярьж өөрийгөө рекламдахгүй, бас хуулиа дагаад суртачилгаа ч хийхгүй бга ганц нь Эрдэнэ л бндаа🤔👍",10
ariunq,"Бургас, Боов 2т хзэ хариуцлага тооцохын бэ??
МАН-ын эхнэрүүд, хүүхдүүд нь ягд маниусаас илүү эрхтэй амьдрах ёстойн‼️
Тэд 4хөн жилийн хугацаатай хууль тогтоогч болсон, тэглээ гд гэр бүлийнхэнд нь Хууль үйлчлэхгүй бх ёстой гсн үг биш!
Энэ 2т хариуцлага тооцохгүй бол Хүүк ч хэцүүдээ",10
Uyanga_ts,@Ulziikh45408898 Женко+Хүүк хамтарч луйвардчаад яаж хуралдуулах вэ дээ,9
enerel_z,Женкотой үзээд маш хүнд шарх авсан Хүүк ахын эрэнтгээн өсч өгөхгүй солир шиг л унаж байна. Үнэхээр түүнээс айх нь аргагүй байж! Женког саяхан муулаад байсан бүлэглэл Нямдоржруу галзуу нохой мэт дайраад эхэлсэн эндээс дүгнэвэл Хүүк унахад маш ойрхон Элбэгээ ХҮН-с Энхбатыг сойсон,9
mubu0126,"@SaruulhanA @aagiiah @enkhbat Ер нь тэгээд хэл усгүй бяр чадалтангууд
Дэлхийн давцанд монголоо айлын дайтай таниулаад аваад явчиж чадахгүй дэлхийгээс тусгаарлагдсан л улс болгодог юм бна
Хүүк ч дэлхийд урагш нэгч алхаж чадахгүй нь тодорхой
Одоо бид тархиа ухдаг хүмүүсээ дэмждэг жишигт явмаар бна",9
LightBringep,"@enkhbat ""Хүүк сонгогдвол мөрийн хөтөлбөрөө хэрэгжүүлж чадна, бусдад нь боломж бхгүй"" гэж МАН гишүүд хэлж бн лээ. Өөр намын хүмүүсээс еөк сонгогдвол хамтарч ажиллахгүй шүү гээд бараг хэлж бн гэж ойлголоо. Тэр тусам нь хичээгээрэй.",9
RM_Baagii_RM,"Яаж ч бодсон Дангаасүрэнгийн Энхбат гуай л дээр. Нөгөө хоёроосоо арай нэр цэвэр. Хүүк , Эрдэнэ ван хоёрыг Ерөнхийлөгч болгочихоод юугаа бодож суух юм бэ ?",9
Otgochuluu,"Хүүк, Жэнко 2 бол дарангуйллын вакцин юм даа. Ардчилсан нийгэмд зүрхэндээ өс хорсол тээсэн улс төрчид ямар аюултайг харуулж бн. Эсрэг бие (дархлаа) тогтсон эсэхийг ирэх сард харцгаана даа, хэдүүлээ.",9
BatmunkhIT,Оюутолгойд эзэн суухуу Рио тинто-гийн мэдэлд өгөхүү гэсэн Жак Хүүк 2ын тулаан эхэлжээ https://t.co/MtDLvbL6ts,9
ujin_555,"@batengineer Өмнө нь М.Энхболд Сундуйгаа золигт гаргахгүй гүрийсээр унасан. Харин Хүүк мэдрэмжтэй загнаж рейтингэд нь сөргөөр нөлөөлж мэдэх нөхдийг зайлуулж байх шиг. Гэхдээ шүүх гэм буруутайг тогтоогоогүй бхад баахан хүн буруутгаад, хүний эрхийн зөрчил болох вий дээ.",9
